324_Male_Rep_1	SAMN09738648
324_Male_Rep_2	SAMN09738647
325_Female_Rep_1	SAMN09738646
325_Female_Rep_2	SAMN09738645
325_Male_Rep_1	SAMN09738644
325_Male_Rep_2	SAMN09738447
332_Female_Rep_1	SAMN09738446
332_Female_Rep_2	SAMN09738445
332_Male_Rep_1	SAMN09738444
332_Male_Rep_2	SAMN09738443
335_Female_Rep_1	SAMN09738442
181_Male_Rep_2	SAMN09738441
189_Female_Rep_1	SAMN09738440
189_Female_Rep_2	SAMN09738439
189_Male_Rep_1	SAMN09738438
189_Male_Rep_2	SAMN09738437
195_Female_Rep_1	SAMN09738436
195_Female_Rep_2	SAMN09738435
235_Male_Rep_2	SAMN09738434
237_Female_Rep_1	SAMN09738433
237_Female_Rep_2	SAMN09738432
237_Male_Rep_1	SAMN09738431
237_Male_Rep_2	SAMN09738430
239_Female_Rep_1	SAMN09738429
239_Female_Rep_2	SAMN09738428
239_Male_Rep_1	SAMN09738427
239_Male_Rep_2	SAMN09738426
256_Female_Rep_1	SAMN09738425
256_Female_Rep_2	SAMN09738424
256_Male_Rep_1	SAMN09738423
256_Male_Rep_2	SAMN09738422
26_Female_Rep_1	SAMN09738421
26_Female_Rep_2	SAMN09738420
26_Male_Rep_1	SAMN09738419
319_Male_Rep_2	SAMN09738418
32_Female_Rep_1	SAMN09738417
32_Female_Rep_2	SAMN09738416
32_Male_Rep_1	SAMN09738415
32_Male_Rep_2	SAMN09738414
320_Female_Rep_1	SAMN09738413
320_Female_Rep_2	SAMN09738412
320_Male_Rep_1	SAMN09738411
320_Male_Rep_2	SAMN09738410
315_Female_Rep_2	SAMN09738409
315_Male_Rep_1	SAMN09738408
315_Male_Rep_2	SAMN09738407
317_Female_Rep_1	SAMN09738406
317_Female_Rep_2	SAMN09738405
317_Male_Rep_1	SAMN09738404
317_Male_Rep_2	SAMN09738403
318_Female_Rep_1	SAMN09738402
318_Female_Rep_2	SAMN09738401
318_Male_Rep_1	SAMN09738400
318_Male_Rep_2	SAMN09738399
319_Female_Rep_1	SAMN09738398
319_Female_Rep_2	SAMN09738397
319_Male_Rep_1	SAMN09738396
228_Female_Rep_2	SAMN09738395
228_Male_Rep_1	SAMN09738394
228_Male_Rep_2	SAMN09738393
229_Female_Rep_1	SAMN09738392
229_Female_Rep_2	SAMN09738391
229_Male_Rep_1	SAMN09738390
229_Male_Rep_2	SAMN09738389
233_Female_Rep_1	SAMN09738388
233_Female_Rep_2	SAMN09738387
233_Male_Rep_1	SAMN09738386
233_Male_Rep_2	SAMN09738385
235_Female_Rep_1	SAMN09738384
235_Female_Rep_2	SAMN09738383
235_Male_Rep_1	SAMN09738382
306_Female_Rep_1	SAMN09738381
306_Female_Rep_2	SAMN09738380
306_Male_Rep_1	SAMN09738379
306_Male_Rep_2	SAMN09738378
309_Female_Rep_1	SAMN09738377
309_Female_Rep_2	SAMN09738376
309_Male_Rep_1	SAMN09738375
309_Male_Rep_2	SAMN09738374
31_Female_Rep_1	SAMN09738373
31_Female_Rep_2	SAMN09738372
31_Male_Rep_1	SAMN09738371
31_Male_Rep_2	SAMN09738370
310_Female_Rep_1	SAMN09738369
310_Female_Rep_2	SAMN09738368
310_Male_Rep_1	SAMN09738367
310_Male_Rep_2	SAMN09738366
313_Female_Rep_1	SAMN09738365
313_Female_Rep_2	SAMN09738364
313_Male_Rep_1	SAMN09738363
313_Male_Rep_2	SAMN09738362
315_Female_Rep_1	SAMN09738361
361_Male_Rep_2	SAMN09738360
362_Female_Rep_1	SAMN09738359
26_Male_Rep_2	SAMN09738358
28_Female_Rep_1	SAMN09738357
28_Female_Rep_2	SAMN09738356
28_Male_Rep_1	SAMN09738355
28_Male_Rep_2	SAMN09738354
280_Female_Rep_1	SAMN09738353
280_Female_Rep_2	SAMN09738352
280_Male_Rep_1	SAMN09738351
280_Male_Rep_2	SAMN09738350
287_Female_Rep_1	SAMN09738349
287_Female_Rep_2	SAMN09738348
287_Male_Rep_1	SAMN09738347
287_Male_Rep_2	SAMN09738346
301_Female_Rep_1	SAMN09738345
301_Female_Rep_2	SAMN09738344
301_Male_Rep_1	SAMN09738343
301_Male_Rep_2	SAMN09738342
303_Female_Rep_1	SAMN09738341
303_Female_Rep_2	SAMN09738340
303_Male_Rep_1	SAMN09738339
303_Male_Rep_2	SAMN09738338
304_Female_Rep_1	SAMN09738337
304_Female_Rep_2	SAMN09738336
304_Male_Rep_1	SAMN09738335
304_Male_Rep_2	SAMN09738334
355_Female_Rep_1	SAMN09738333
355_Female_Rep_2	SAMN09738332
355_Male_Rep_1	SAMN09738331
355_Male_Rep_2	SAMN09738330
356_Female_Rep_2	SAMN09738329
356_Male_Rep_1	SAMN09738328
356_Male_Rep_2	SAMN09738327
357_Female_Rep_1	SAMN09738326
357_Female_Rep_2	SAMN09738325
357_Male_Rep_1	SAMN09738324
357_Male_Rep_2	SAMN09738323
358_Female_Rep_1	SAMN09738322
358_Female_Rep_2	SAMN09738321
358_Male_Rep_1	SAMN09738320
358_Male_Rep_2	SAMN09738319
359_Female_Rep_1	SAMN09738318
359_Female_Rep_2	SAMN09738317
359_Male_Rep_1	SAMN09738316
359_Male_Rep_2	SAMN09738315
360_Female_Rep_1	SAMN09738314
360_Female_Rep_2	SAMN09738313
360_Male_Rep_1	SAMN09738312
360_Male_Rep_2	SAMN09738311
361_Female_Rep_1	SAMN09738310
361_Female_Rep_2	SAMN09738309
361_Male_Rep_1	SAMN09738308
336_Female_Rep_2	SAMN09738307
338_Female_Rep_2	SAMN09738306
338_Male_Rep_1	SAMN09738305
338_Male_Rep_2	SAMN09738304
340_Female_Rep_1	SAMN09738303
340_Female_Rep_2	SAMN09738302
340_Male_Rep_1	SAMN09738301
340_Male_Rep_2	SAMN09738300
348_Female_Rep_1	SAMN09738299
348_Female_Rep_2	SAMN09738298
348_Male_Rep_1	SAMN09738297
348_Male_Rep_2	SAMN09738296
350_Female_Rep_1	SAMN09738295
350_Female_Rep_2	SAMN09738294
350_Male_Rep_1	SAMN09738293
350_Male_Rep_2	SAMN09738292
352_Female_Rep_1	SAMN09738291
352_Female_Rep_2	SAMN09738290
352_Male_Rep_1	SAMN09738289
352_Male_Rep_2	SAMN09738288
354_Female_Rep_1	SAMN09738287
356_Female_Rep_1	SAMN09738286
354_Female_Rep_2	SAMN09738285
354_Male_Rep_1	SAMN09738284
354_Male_Rep_2	SAMN09738283
365_Female_Rep_2	SAMN09738282
365_Male_Rep_1	SAMN09738281
365_Male_Rep_2	SAMN09738280
367_Female_Rep_1	SAMN09738279
367_Female_Rep_2	SAMN09738278
367_Male_Rep_1	SAMN09738276
367_Male_Rep_2	SAMN09738275
370_Female_Rep_1	SAMN09738274
370_Female_Rep_2	SAMN09738273
370_Male_Rep_1	SAMN09738272
370_Male_Rep_2	SAMN09738270
371_Female_Rep_1	SAMN09738269
371_Female_Rep_2	SAMN09738268
371_Male_Rep_1	SAMN09738266
371_Male_Rep_2	SAMN09738265
373_Female_Rep_1	SAMN09738263
373_Female_Rep_2	SAMN09738262
373_Male_Rep_1	SAMN09738260
373_Male_Rep_2	SAMN09738259
374_Female_Rep_1	SAMN09738257
374_Female_Rep_2	SAMN09738255
374_Male_Rep_1	SAMN09738253
